label,Quotes
BOOKER,"[' So, first of all, we must be fair. We are talking about ongoing proceedings to remove a sitting president from office. This has got to be about patriotism and not partisanship. Look, I share the same sense of urgency of everybody on this stage. I understand the outrage that we all feel. But we have to conduct this process in a way that is honorable, that brings our country together, doesn’t rip us apart. Anybody who has criticisms about a process that is making all the facts bare before the American public, that works to build consensus, that’s what this nation needs in what is a moral moment and not a political one. So I swore an oath to do my job as a Senator, do my duty. This president has violated his, I will do mine.']"
BUTTIGIEG,"[' It’s original, I’ll give you that. The American people are divided and doubtful at the very moment we need to rise to some of the greatest challenges we’ve ever seen. As a mayor of an industrial city coming back from the brink, as a veteran of the war in Afghanistan, I know what’s at stake in our national leadership. We keep sending politicians to Washington, asking them to fight for us, but then when they get there, they seem more interested in the part about fighting than the part about us. Good politics is supposed to be not about the day-to-day fights of the politicians, but about the day-to-day lives of Americans. We just marked the anniversary of 9/11. All day today, I’ve been thinking about September 12th, the way it felt, when for a moment, we came together as a country. Imagine if we had been able to sustain that unity. Imagine what would be possible right now with ideas that are bold enough to meet the challenges of our time, but big enough, as well, that they could unify the American people. That’s what presidential leadership can do. That’s what the presidency is for, and that is why I’m asking for your vote.']"
BUTTIGIEG,"[' I would have a strategy that would include the tariffs as leverage, but it’s not about the tariffs. Look, what’s going on right now is a president who has reduced the entire China challenge into a question of tariffs, when what we know is that the tariffs are coming down on us, more than anybody else. And there’s a lack of a bigger strategy.']"
BUTTIGIEG,"[' Well, we heard it tonight. A yes or no question that didn’t get a yes or no answer, but this is why people here in the Midwest are so frustrated with Washington in general and Capitol Hill in particular. Your signature, Senator, is to have a plan for everything, except this, no plan has been laid out to explain how a multi-trillion dollar hole in this Medicare for all plan that Elizabeth Warren is putting forward is supposed to get filled in and the thing is, we really can deliver healthcare for every American and move forward with the boldest, biggest transformation since the inception of Medicare itself, but the way to do it without a giant multi-trillion dollar hole and without having to avoid a yes or no question is Medicare for all who want it. We take a version of Medicare, we let you access it if you want to, and if you prefer to stay on your private plan, you can do that too. That is what most Americans want, Medicare for all who want it, trusting you to make the right decision for your healthcare and for your family, and it can be delivered without an increase on the middle class taxes.']"
SANDERS,"[' Right now we have a dysfunctional healthcare system, 87 million uninsured or underinsured, $500,000, 500,000 Americans every year going bankrupt because of medical bills, 30,000 people dying, while the healthcare industry makes tens of billions of dollars in profit. Five minutes away from here John is a country. It’s called Canada. They guarantee healthcare to every man, woman and child as a human right, they spend half of what we spend. And by the way, when you end up in a hospital in Canada, you come out with no bill at all. Healthcare is a human right. It’s not a privilege. I believe that, I will fight for that.']"
SANDERS,"[' Now, some of the people up here think that we should not take on the insurance industry, we should not take on the pharmaceutical industry. But you know what? If you think back to FDR and if you think back to JFK and Harry Truman and Barack Obama, as a matter of fact, people have been talking about healthcare for all. Well, you know what? I think now is the time. And in the first week of my administration, we will introduce Medicare for all. Medicare for all, that means no deductibles, no co-payments, no out of pocket expenses. That’s where we gotta go.']"
OROURKE,"[' And I want to say this. I’m listening to the people of this country. The day after I proposed doing that, I went to a gun show in Conway, Arkansas, to meet with those who were selling AR-15s and Amy Klobuchar-47s and those who were buying those weapons. And you might be surprised, there was some common ground there. Folks who said, “I would willingly give that up, cut it to pieces, I don’t need this weapon to hunt, to defend myself. It is a weapon of war.” So, let’s do the right thing, but let’s bring everyone in America into the conversation, Republicans, Democrats, gun owners, and non-gun owners alike.']"
BIDEN,"[' Now, with regard to China, we should… Look, unless we make it clear that we stand for human rights, we should be going to the United Nations seeking condemnation of China and what they’re doing with the million Uighurs that are there, essentially, in concentration camps in the west. We should be vocally, vocally speaking out about the violation of the commitment they made to Hong Kong. We have to speak out and speak loudly about violations of human rights.']"
BUTTIGIEG,"[' Well, this epidemic of gun violence has hit my community too, far too many times. It’s the worst part of being Mayor. Getting the phone call. Consoling grieving parents. And we have a mass shootings worth of killings every day in this country. What we’re doing hasn’t worked, because we haven’t had a system in Washington capable of delivering what the American people have told us they want. 80, 90% of Republicans want universal background checks. Not to mention the common sense solution… Laws, that disarm domestic abusers, and flag mental health risks and an end to assault weapons, things like what I carried overseas in uniform that have no business in American neighborhoods in peacetime, let alone anywhere near a school. I was at an event a few days ago, and a 13-year-old asked me what we we’re gonna do about school safety and then began shaking and then began crying. And we could talk about these policies, but we already know the policies. The only thing I could think of looking into the eyes of this child is, we’re supposed to be dealing with this, so you don’t have to. High school is hard enough, without having to worry about whether you’re going to get shot.']"
BIDEN,"[' It just… We, look… It’s about civility; we have to restore the soul of this country. And that’s not who we are, that’s not who we’ve been, that’s not who we should be. Follow the law, let the Justice Department make the judgment as to whether or not someone should be prosecuted, period.']"
BIDEN,"[' Look, I would not direct my Justice Department like this president does. I’d let them make their independent judgment. I would not dictate who should be prosecuted or who should be exonerated; that’s not the role of the president of the United States. It’s the attorney general of the United States, not the president’s attorney, private attorney, and so I would… Whatever was determined by the attorney general I supported, that I appointed, let them make an independent judgment. If that was the judgment, that he violated the law and should be in fact criminally prosecuted, then so be it, but I would not direct it. And I don’t think it’s a good idea that we mock… That we model ourselves after Trump and say, “Lock him up.” Look, we have to bring this country together. Let’s start talking civilly to people and tweeting… The next president who starts tweeting should… Anyway…']"
BIDEN,"[' Yes, and I said at that time, Khashoggi was in fact murdered and dismembered and I believe in the order of the Crown Prince. And I would make it very clear, we were not going to, in fact, sell more weapons to them. We were going to, in fact, make them pay the price and make them, in fact, the pariah that they are. There’s very little social redeeming value in the present government in Saudi Arabia. And I would also, as pointed out, I would end, end the subsidies that we have, end the sale of material to the Saudis where they’re going in and murdering children and they’re murdering innocent people. And so, they have to be held accountable.']"
BUTTIGIEG,"[' This is the exact same conversation we’ve been having since I was in high school. I was a junior when the Columbine shooting happened. I was part of the first generation that saw routine school shootings. We have now produced the second school shooting generation in this country. We’d better not allow there to be a third. Something is broken if it is even possible for the same debate around the same solutions that we all know are the right thing to do. They won’t prevent every incident, they won’t save every life, but we know what to do, and it has not happened.']"
OROURKE,"[' If the high impact, high velocity round, when it hits your body, shreds everything inside of your body, because it was designed to do that, so that you would bleed to death on a battlefield and not be able to get up and kill one of our soldiers, when we see that being used against children, and in Odessa, I met the mother of a 15-year-old girl who was shot by an AR-15 and that mother watched her bleed to death over the course of an hour because so many other people were shot by that AR-15 in Odessa and Midland, there weren’t enough ambulances to get to them in time, hell, yes, we’re going to take your AR-15, your Amy Klobuchar-47.']"
SANDERS,"[' During this campaign I am proud to say that I have received more campaign contributions than any candidate at this point in an election in American history, over four million contributions averaging $18 apiece. If you want to be part of a movement that is not only going to beat Trump but transform America, that doesn’t have a super PAnderson Cooper, doesn’t do fundraisers at wealthy people’s home, please join us at berniesanders.com. Thank you.']"
GABBARD,"[' Working side by side, let’s defeat the divisiveness of Donald Trump, come together and usher in a 21st century of racial harmony, of racial justice, peace, inclusion and true equality. Working side by side, let’s make Dr. King’s dream our reality.']"
SANDERS,"[' No, he’s right. We don’t have to tear down the system, but we do have to do what the American people want. And the American people understand, today, that the current healthcare system is not only cruel, it is dysfunctional. Now, you tell me how we have a system in which we spend twice as much as do the people of any other country and yet we got 87 million uninsured, under-insured. In some cases we pay 10 times more for prescription drugs as do the people of Canada or other countries. Five hundred thousand people go bankrupt because of medically-related issues, they come down with cancer and that’s a reason to go bankrupt?']"
BUTTIGIEG,"[' Well, it’s a mistake on the part of Republicans who enable the president, whose actions are as offensive to their own supposed values as they are to the values that we all share. Look, the President has left the Congress with no choice. And this is not just about holding the President accountable for not just the things emerging in these investigations, but actions that he has confessed to on television. It’s also about the presidency itself, because a president 10 years or 100 years from now will look back at this moment and draw the conclusion either that no one is above the law, or that a president can get away with anything. But everyone on this stage, by definition, is competing to be a president for after the Trump presidency. Remember, one way or the other, this presidency is going to come to an end. I want you to picture what it’s going to be like, what it’s actually going to feel like in this country the first day the sun comes up after Donald Trump has been president.']"
BUTTIGIEG,"[' Is it just me or was that supposed to happen in April? It’s one more example of a commitment not made. When that happens on the international stage, people take note. Not just our competitors, our adversaries, but also our allies take note of the inability of the United States to keep its word, or follow through on its plans. And when that happens, there are serious consequences. We saw it at the G7, the leaders of some of the greatest powers and economies of the world, sitting to talk about one of the greatest challenges in the world, climate change. And there was literally an empty chair where American leadership could have been. The problem is, this is a moment when American leadership is needed more than ever. Whether it’s in Hong Kong, where those protesters for democracy need to know that they have a friend in the United States, or anywhere around the world where, increasingly, we see dictators throwing their weight around. The world needs America, but it can’t be just any America. It has to be…']"
BOOKER,"[' The lesson I learnt of resilience is to trust people, ’cause the power of the people is always greater than the people in power, and the test of America right now, it’s not a referendum on Donald Trump, it’s a referendum on us, on who we are and who we’re going to be together. We need to use this moment in history to unite in common cause and common purpose, and then there’s nothing we can’t do together as a nation.']"
BUTTIGIEG,"[' There’s good news and bad news. I’m gonna start with the bad news. Our country is in trouble. GDP is going up and life expectancy is going down. Think about what that means. It’s only getting tougher. By 2030 we will have passed the point of no return on climate; there are gonna be 130 million more guns on our streets. I’ll be in my 40s then. If you have kids, think about how old they will be then. But here’s the good news, it’s not too late. We can tell our kids that before we ran out of time, just before we ran out of time. In 2020, we did what it took to deliver a climate that we didn’t have to wonder if it could support us. To deliver a society where race has no bearing on your health or your wealth or your relationship with law enforcement. That we did what it took to deliver an economy where a rising tide actually does lift all boats. We can do this. If and only if we are ready to walk away from what hasn’t worked with bold action, and win. Not only defeat this President, but defeat his Congressional allies. With a defeat so big that it reunites the Republican Party with its conscience, as well as bringing Democrats to office. Join me and let’s make it happen.']"
HARRIS,"[' I want to give credit first to Barack Obama for really bringing us this far. We would not be here if he hadn’t the courage, the talent or the will to see us this far. I want to give credit to Bernie. Take credit, Bernie. You know, you brought us this far in Medicare for All. I support Medicare for All. I always have. But I wanted to make the plan better, which I did, which is about offering people choice, not taking that from them. So, under my Medicare for All plan, people have the choice of a private plan or a public plan because that’s what people want, and I agree we shouldn’t take choice from people. But here’s the thing, everybody on this stage, I do believe, is well-intentioned and wants that all Americans have coverage and recognizes that right now 30 million Americans don’t have coverage. But at least five people have talked, some repeatedly, on this subject and not once have we talked about Donald Trump.']"
WARREN,"[' So the data show that we’ve had a lot of problems with losing jobs, but the principal reason has been bad trade policy. The principal reason has been a bunch of corporations, giant multinational corporations have been calling the shots on trade. Giant, multinational corporations that have no loyalty to America. They have no loyalty to American workers. They have no loyalty to American consumers. They have no loyalty to American communities. They are loyal only to their own bottom line. I have a plan to fix that, and it’s accountable capitalism. It says you want to have one of the giant corporations in America, then by golly, 40% of your board of directors should be elected by your employees. That will make a difference when a corporation decides, “Gee. We could save a nickel by moving a job to Mexico.” When there are people on the board in the boardroom saying, “No. Do you know what that does to our company? Do you know what that does to our community, to what it does to our workers?” We also need to make it easier to join a union and give unions more power when they negotiate.']"
WARREN,"[' So look, I think that we ought to get out of the Middle East, I don’t think we should have troops in the Middle East. But we have to do it the right way, the smart way. What this president has done is that he has sucked up to dictators, he has made impulsive decisions that often his own team doesn’t understand, he has cut and run on our allies, and he has enriched himself at the expense of the United States of America. In Syria, he has created a bigger than ever humanitarian crisis, he has helped ISIS get another foothold, a new lease on life. I sit on the Armed Services Committee, I talk with our military leaders about this.']"
WARREN,"[' What do these issues have in common? Well, first, they touch people all over this country in their everyday lives. And what is the second thing they have in common? We know what we need to do. We have a lot of good ideas for how to fix it, and the majority of Americans are with us on it, and yet we don’t make change. Why not? Because of corruption, because we have a government that works better for big drug companies that it does for people trying to fill a prescription. It works better for a giant defense industry than it does for everyone who worries about the money that goes into arms instead of into our public schools. We have a government that works for those at the top, and not for anyone else.']"
HARRIS,"[' Holding big tech accountable because they have an outsized influence on people’s perceptions about issues, and they actually influence behaviors. We all have to agree this is their power, it is immense… So you can’t…']"
HARRIS,"[' When Black women are three to four times more likely to die in connection with childbirth in America, when the sons of Black women will die because of gun violence more than any other cause of death, when Black women make 61 cents on the dollar as compared to all women, who tragically make 80 cents on the dollar, the question has to be, “Where you been? And what are you going to do? And do you understand who the people are?”']"
HARRIS,"[' I would urge you to join me, because here we have Donald Trump who has 65 million Twitter followers and is using that platform as the president of the United States to openly intimidate witnesses, to threaten witnesses, to obstruct justice, and he and his account should be taken down. We saw in El Paso that that shooter in his manifesto was informed by how Donald Trump uses that platform, and this is a matter of corporate responsibility. Twitter should be held accountable and shut down that site. It is a matter of safety and corporate accountability.']"
HARRIS,"[' He was born… He has conducted foreign policy since day one born out of a very fragile ego that fails to understand that one of the most important responsibilities of the Commander-in-Chief is to concern herself with the security of our nation and homeland, and to do it in a way that understands that part of the strength of who we are as a nation, and therefore an extension of our ability to be secure, is not only that we have a vibrant military, but that, when we walk in any room around the globe, we are respected because we keep to our word, we are consistent, we speak truth and we are loyal. What Donald Trump has done, from pulling out of the Paris Agreement, to pulling out of the Iran nuclear deal, to consistently turning a back on people who have stood with us in difficult times, including most recently the Kurds, points out that Donald Trump is the greatest threat to the national security of our nation at this moment.']"
WARREN,"[' No, let me finish please. And cancel student loan debt for 95% of the people who have it. My question is not why do Bernie and I support a wealth tax? It’s why is it does everyone else on this stage think it is more important to protect billionaires than it is to invest in an entire generation of Americans?']"
WARREN,"[' So, look, I want to get what works, done. I want to use the method we used, for example, with machine guns. We registered them, we put in a huge penalty if you didn’t register them, and a huge tax on them, and we let people turn them in, and it got machine guns out of the hands of people. But the problem here that we need to focus on is, first, how widespread gun violence is. As you’ve rightly identified, it’s not just about mass shootings, it’s what happens in neighborhoods all across this country. It is about suicide. It is about domestic violence. This is not going to be a one and done, that we do one thing or two things or three things, and then we’re done. We have to reduce gun violence, overall. And the question we have to ask is', ' Why hasn’t it happened? You say we’re so close, we have been so close. I stood in the United States Senate in 2013.']"
HARRIS,"[' So, there have been… I’m glad you asked me this question. And there have been many distortions of my record. Let me be very clear. I made a decision to become a prosecutor for two reasons. One, I’ve always wanted to protect people and keep them safe. And second, I was born knowing about how this criminal justice system in America has worked in a way that has been informed by racial bias, and I could tell you extensively about the experiences I and my family members have personally had. But I made a decision that if I was going to have the ability to reform the system, I would try to do it from the inside. And so, I took on the position that allowed me, without asking permission, to create one of the first in the nation initiatives that was a model, and became a national model, around people who were arrested for drugs and getting them jobs. I created one of the first in the nation requirements that a state law enforcement agency would have to wear cameras and keep them on full-time. I created one of the first in the nation trainings for police officer on the issue of racial bias and the need to reform the system. Was I able to get enough done?']"
BOOKER,"[' So if I’m president of the United States, it is a holistic solution to education, from raising teachers’ salary, fully-funded special education, but combating the issues of poverty, combating the issues of racial segregation, combating the issues of a criminal justice system…']"
BUTTIGIEG,"[' I don’t think the American people are wrong when they say that what they want is a choice and the choice of Medicare for all who want it which is affordable for everyone, because we make sure that the subsidies are in place allows you to get that healthcare. It’s just better than Medicare for all whether you want it or not, and I don’t understand why you believe the only way to deliver affordable coverage to everybody is to obliterate private plans, kicking 150 million Americans off of their insurance in four short years when we could achieve that same big, bold goal and once again, we have a president… We’re competing to be president for the day after Trump. Our country will be horrifyingly polarized, even more than now, after everything we’ve been through, after everything we are about to go through, this country will be even more divided, why unnecessarily divide this country over healthcare when there’s a better way to deliver coverage for all.']"
BUTTIGIEG,"[' And so when I am president, an authorization for the use of military force will have a built-in three-year sunset. Congress will be required to vote and a president will be required to go to Congress to seek an authorization. Because if our troops can summon the courage to go overseas, the least our members of Congress should be able to do is summon the courage to take a vote on whether they ought to be there. By the way, we also have a president right now who seems to treat troops as props, or worse, tools for his own enrichment. We saw what’s going on with flights apparently being routed through Scotland just so people can stay at his hotels. I’ll tell you, as a military officer, the very first thing that goes through your mind, the first time you ever make eye contact with somebody that you are responsible for in uniform is, do not let these men and women down. This president is doing exactly that. I will not.']"
BOOKER,"[' If I’m president of the United States, I will bring an urgency to this issue, and make sure that we end the scourge of mass violence in our country.']"
SANDERS,"[' The fact of the matter is, tens of millions of people lose their health insurance every single year when they change jobs, when their employer changes that insurance. If you want stability in the healthcare system, if you want a system which gives you freedom of choice with regard to doctor or hospital, which is a system which will not bankrupt you, the answer is to get rid of the profiteering…']"
BIDEN,"[' First of all, let me say that when I came back from law school, I had job with a great and big-time law firm and left and became a public defender, because my state was under siege. When Dr. King was assassinated, we were occupied by the National Guard for 10 months. I’ve been involved from the beginning. As a young councilman, I introduced legislation to try to keep them putting a sewer plant in a poor neighborhood. I made sure that we dealt with red-lining. Banks should have to lend where they operate, etcetera. The fact of the matter is that what’s happened is that we’re in a situation now where there are so many people who are in jail and shouldn’t be in jail. The whole means by which this should change is the whole model has to change. We should be talking about rehabilitation. Nobody should be in jail for a non-violent crime. When we were in the White House, we released 36,000 people from the federal prison system. Nobody should be in jail for a drug problem; they should be going directly to a rehabilitation. We build more rehabilitation centers, not prisons.']"
OROURKE,"[' That’s a mischaracterization, Anderson. I’ve got to answer this. Never took you, or anyone else on who disagrees with me on this issue, but when you, Pete Buttigieg, describe this policy as a shiny object, I don’t care what that meant to me or my candidacy, but to those who have survived gun violence, those who’ve lost a loved one to an AR-15, an Amy Klobuchar-47, March For Our Lives formed in the courage of students willing to stand up to the NRA and conventional politics and poll-tested politicians. That was a slap in the face to every single one of those groups and every single survivor of a mass casualty assault with an AR-15 and an Amy Klobuchar-47.']"
OROURKE,"[' Thank you. Listen, I’m grateful that we all agree about the urgency of this challenge and the fact that Donald Trump is undermining the limited protections that we have right now. But I also think we’re being offered a false choice between those who propose an all-or-nothing gambit forcing tens of millions off of insurance that they like that works for them to force them onto Medicare and others who want to, as the Vice President does, incrementally improve what we have, which will still leave many, maybe millions, uninsured and uncared for in a state like Texas, where the largest provider of mental healthcare services is a county jail system. We’ve got to do better. And my proposal, Medicare for America says, everyone who’s uninsured will be enrolled in Medicare. Everyone who’s insufficiently insured, cannot afford it, can move over to Medicare and those, like members of unions, who fought for the healthcare plans that work for them and their families are able to keep them. That is the best possible path forward.']"
GABBARD,"[' The most important thing here is that we recognize that we have to treat each other with respect, all of us as fellow Americans, regardless of race, religion, ethnicity, gender, orientation, and our politics. That kind of leadership starts at the top. As president, I will usher in a 21st century White House that actually represents the interests of all Americans, first and foremost.']"
BIDEN,"[' You know, we can do this without charging people, raising $30, $40 trillion. The fact is, that right now, the vast majority of Democrats do not support Medicare for all. It couldn’t pass the United States Senate. Right now, with Democrats, it couldn’t pass the House. Nancy Pelosi is one of those people who doesn’t think it makes sense. We should build on ObamaCare, provide the plan I put forward before anybody in here, adding a Medicare option in that plan, and not make people choose. Allow people to choose, I should say. If you go to the route of my two friends in my right and my left, you have to give up your private insurance. 160 million people like their private insurance. And if they don’t like it, they can buy into a Medicare-like proposal in my plan. Drug prices go down, premiums go down across the board. But here’s the deal, they get to choose. I trust the American people to make a judgment what they believe is in their interest and not demand of them, what the insurance companies, they want no competition. And my friends say you have to only go Medicare for all.']"
BUTTIGIEG,"[' When I’m President, illegally crossing the border will still be illegal. We can argue over the finer points of which parts of this ought to be handled by civil law and which parts ought to be handled by criminal law. But we’ve got a crisis on our hands and it’s not just a crisis of immigration, it’s a crisis of cruelty and incompetence that has created a humanitarian disaster on our Southern border. It is a stain on the United States of America. Americans want comprehensive immigration reform and frankly, we’ve been talking about the same framework for my entire adult lifetime. Protections for Dreamers, making sure that we have a pathway to citizenship for the undocumented, cleaning up lawful immigration. We know what to do, we know the border security can be part of that package and we can still be a nation of laws. The problem is, we haven’t had the will to get it done, in Washington. And now we have a president who could fix it in a month because there is that bipartisan agreement. But he needs it to be a crisis, rather than an achievement. That will end on my watch.']"
BIDEN,"[' Well, first of all, I’d go back in making sure we had the alliances we had before he became president. He has absolutely ostracized us from South Korea, he has given North Korea everything they wanted, creating the legitimacy by having a meeting with Kim Jong-un, who’s a thug. Well, he points out that I am a rabid dog who needs to be beaten with a stick. Very recently, it was a comment that’s…']"
BUTTIGIEG,"[' That’s the policy I’m putting forward, not ’cause I think it’s the right triangulation between Republicans here and Democrats here, because I think it’s the right answer for people like my mother-in-law, who is here, whose life was saved by the Anderson CooperA, but who is still far too vulnerable to the fact that the insurance industry does not care about her.']"
BIDEN,"[' They in fact can in fact put pressure on North Korea. But, the fact is that we’re in a position where he has done this across the world. He’s embraced thugs, look what Putin is doing in Europe. Putin is… His whole effort is to break up NATO, to increase his power. Look what he’s done to it. And so, this guy has no idea what he’s doing, he has no notion how to go about it, and we need a Commander-in-Chief who when he stands, everybody knows what he or she is talking.']"
BIDEN,"[' I think a woman is qualified to be president, and there’s no reason why, if you think the woman is the most qualified person now, you should vote for them. The reason why I think I should be president and be the nominee is, number one, I have brought people together my entire career. In the United States Senate, I’ve passed more major legislation than everybody on this stage combined, from the Violence Against Women Act to making sure we have the chemical weapons treaty to dealing with Milosevic, the whole range of things that I’ve been engaged in my whole career.']"
GABBARD,"[' Thank you. I mean, voting rights are essential for our democracy. Securing our elections is essential for our democracy. I’ve introduced legislation called the Securing America’s Elections Act, that mandates paper ballots, to make sure that every single voter’s voice is heard. But I want to get back to Pete Buttigieg and his comments about experience. Pete, you’ll agree that the service that we both have provided to our country as veterans, by itself, does not qualify us to serve as commander-in-chief. I think the most recent example of your inexperience in national security and foreign policy came from your recent careless statement about how you, as president, would be willing to send our troops to Mexico, to fight the cartels. As commander-in-chief, leader of our armed forces, I bring extensive experience, serving for seven years in Congress, on the Foreign Affairs Committee, on the Armed Services Committee, on the Homeland Security Committee, meeting with leaders of countries around the world, working with military commanders of different commands…']"
OROURKE,"[' I called this out in no uncertain terms on August 3rd and every day since then, and I was talking about it long before then as well. Racism in America is endemic. It is foundational. We can mark the creation of this country, not at the 4th of July, 1776, but August 20th, 1619 when the first kidnapped African was brought to this country against his will and in bondage and as a slave, built the greatness and the success and the wealth that neither he nor his descendants would ever be able to fully participate in and enjoy. We have to be able to answer this challenge, and it is found in our education system where in Texas, a five-year-old child in kindergarten is five times as likely to be disciplined or suspended or expelled based on the color of their skin, in our healthcare system where there’s a maternal mortality crisis three times as deadly for women of color, or the fact that there’s 10 times the wealth in white America than there is in black America. I’m going to follow Sheila Jackson Lee’s lead and sign into law a reparations bill to allow us to address this at its foundations.']"
OROURKE,"[' Yes, it is, for many of the reasons that Andrew Yang just described and also just from some personal experiences I’ve had as a member of Congress, where constituents of mine have come forward. In some cases publicly at a town hall meeting to describe their addictions. I remember a veteran telling me that he bought heroin off the street, because he was originally prescribed an opioid at the VA. Now, imagine if that veteran instead of being prescribed an opioid had been prescribed marijuana, because we made that legal in America, ensured the VA could prescribe it, expunge the arrest records for those who have been arrested for possession and made sure that he was not prescribed something to which he would become addicted. I also want to agree with Amy Klobuchar', ' Until we hold those responsible, accountable for their actions, Purdue Pharma, Johnson & Johnson, we’re going to continue to have this problem going on again. So, that veteran that I met and anyone with drug addiction today is not a problem for the criminal justice system, they are an opportunity for our public health system in America.']"
BIDEN,"[' I’m the guy that put in the drug courts to divert people from the criminal justice system. And so, we have to change the whole way we look at this. When we put people in prison, we have to equip them when they get out. Nobody who got in prison for marijuana, for example, immediately upon being released, they shouldn’t be in there for a… That should be a misdemeanor. They should be out, and their record should be expunged. Every single right should be returned. When you finish your term in prison, you should be able, not only to vote, but have access to Pell Grants, have access to be able to get housing, have access to be able to move along the way. I’ve laid out a detailed plan along those lines. And the fact is, we’ve learned so much more about…']"
SANDERS,"[' As the author of the Medicare Bill, let me clear up one thing. People talk about having insurance. There are millions of people who have insurance, they can’t go to the doctor, and when they come out of the hospital, they go bankrupt. Alright?']"
BUTTIGIEG,"[' Step one is, appoint a secretary of education who actually believes in public education. I believe in public education and in order to strengthen it, some things are very complex for preparing for a future where knowledge is at your fingertips, but we’ve got to teach more to do with critical thinking and social and emotional learning. Some of it is extremely simple, we’ve just got to pay teachers more, and we’ve got to lift up the teaching profession. I was thinking of a story from South Bend of friends who hosted exchange students from Japan, they had a student one year who wanted to be a teacher and they kept in touch with her when she went back to Japan and to college. She took the exam to try to become a teacher in a society that really regards teachers and compensates teachers well, and she came up just short, so you know what she did, since she was academically good but couldn’t quite make the cut to be a teacher, she had a fall back plan, she became a doctor. That is how seriously some countries treat the teaching profession. If we want to get the results that we expect for our children, we have to support and compensate the teaching profession. Respect teachers the way we do soldiers and pay them more like the way we do doctors.']"
BOOKER,"[' Anybody that does not think that we have a massive crisis in our democracy with the way these tech companies are being used, not just in terms of anti-competitive practices, but also to undermine our democracy. We have seen it in the ’16 election practices being used that have not been corrected now. We need regulation and reform and antitrust. I mean, Robert Bork right now is laughing in his sleep. We have a reality in this country where antitrust from pharma to farms is causing trouble, and we have to deal with this. As president of the United States, I will put people in place that enforce antitrust laws. And I want to say one last thing, and I feel qualified to say this as the vegan on the stage, going back to the fact that we… It’s rich to me that we asked three people about their health. When looking at this stage, we know that the most unhealthy person running for the presidency in 2020 is Donald Trump.']"
BUTTIGIEG,"[' I’m all for a wealth tax. I’m all for just about everything that was just mentioned in these answers. Let me tell you, though, how this looks from the Industrial Midwest where I live. Washington politicians, congressmen and senators saying all the right things, offering the most elegant policy prescriptions, and nothing changes. I didn’t even realize it was unusual to have empty factories that I would see out the windows of my dad’s Chevy Cavalier when he drove me to school. I didn’t know that wasn’t every city until I went away to college. Now I drive my own Chevy, it’s a Chevy Cruze, used to be built right in Lordstown, which is now one more symbol of the broken promises that this president has made to workers. But why did workers take a chance on this president in the first place? It’s because it felt like nobody was willing to actually do anything. And while he’s unquestionably made it dramatically worse, this is the time to realize that we’re paying attention to the wrong things. We’re paying attention to who sounded better on the debate stage or in a committee hearing, versus what it’s actually going to take to get…']"
BOOKER,"[' My biggest professional setback is embarrassing ’cause a lot of folks know about it. I with a bunch of tenant leaders in New York, New Jersey in 2002, took on the political machine, and boy, did they fight back. I had tires on my car slashed, our campaign offices were broken into, my phones were tapped, it became a spectacle and we lost that election. And here’s a bit of advice to everybody, if you’re going to have a spectacular failure, have a documentary team there to capture it, because it made for an Oscar-nominated documentary called Street Fight. But then unfortunately, another setback, it lost in the Oscars to a movie called March of the dagnab Penguins for crying out loud. The people in my community living in the projects told me, “Don’t give up on the people and the people won’t give up on you. Create bigger and bolder coalitions and you’re going to win.”']"
HARRIS,"[' So let’s talk about the fact that Donald Trump came into office and spent almost the entire first year of his term trying to get rid of the Affordable Care Act. We all fought against it and then the late, great John McCain, at that moment at about 2 o’clock in the morning, killed his attempt to take healthcare from millions of people in this country. Fast forward to today, and what is happening? Donald Trump’s Department of Justice is trying to get rid of the Affordable Care Act. Donald Trump’s administration is trying to get rid of the ban that we placed on denying people who have pre-existing conditions coverage. Donald Trump is trying to say that our kids up to the age of 26 can no longer be on our plans. And frankly, I think this discussion has given the American public a headache. What they want to know is that they’re going to have healthcare and cost will not be a barrier to getting it, but let’s focus on the end goal. If we don’t get Donald Trump out of office, he’s going to get rid of all of it.']"
WARREN,"[' I was Iraq and went through the neighborhoods that ISIS destroyed. We need to get out, but we need to do this through a negotiated solution. There is no military solution in this region.']"
WARREN,"[' So I think this is about our values as a country. Show me your budget, show me your tax plans and we’ll know what your values are. And right now in America, the top one 10th of 1% have so much wealth. Understand this, that if we put a two-cent tax on their 50 millionth and 1st dollar, and on every dollar after that, we would have enough money to provide universal childcare for every baby in this country age zero to five, universal pre-K for every child, raise the wages of every childcare worker and preschool teacher in America, provide for universal tuition-free college, put $50 billion into historically black colleges and universities and cancel…']"
HARRIS,"[' So, my policy is about… There’s a whole collection of work that I am doing that is focused on women and working women in America and the inequities and, therefore, the injustice that women in America are facing that needs to be resolved and addressed.']"
